Mapa,Cve_Ent,Nom_Ent,Nom_Abr,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ámbito,Latitud,Longitud,Lat_Decimal,Lon_Decimal,Altitud,Cve_Carta,Pob_Total,Pob_Masculina,Pob_Femenina,Total De Viviendas Habitadas
"230042165","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2165","Rancho Viviana","R","18°39´04.630"N","087°43´36.725"W","18.65128600","-87.72686800","0000","E16A67","1","*","*","1"
"230042176","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2176","Ninguno [Unidad de Servicios]","R","18°38´33.790"N","088°46´28.309"W","18.64271900","-88.77453000","0058","E16A64","0","0","0","0"
"230042183","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2183","Cañón de Montaña","R","18°33´04.133"N","088°40´38.951"W","18.55114800","-88.67748600","0060","E16A64","6","*","*","1"
"230042185","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2185","Ninguno [Rancho]","R","18°45´49.405"N","087°43´38.467"W","18.76372400","-87.72735200","0002","E16A57","-","-","-","-"
"230042186","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2186","Los Caballos Aventureros","R","18°36´35.160"N","087°45´38.772"W","18.60976700","-87.76077000","0000","E16A67","4","*","*","1"
"230042188","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2188","El Jordán","R","18°49´34.356"N","088°11´41.654"W","18.82621000","-88.19490400","0008","E16A56","1","*","*","1"
"230042189","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2189","El Diamante","R","18°22´06.935"N","088°54´54.032"W","18.36859300","-88.91500900","0150","E16A74","-","-","-","-"
"230042191","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2191","Xavier Gamboa Villafranca","R","18°36´54.000"N","088°01´10.000"W","18.6150","-88.01944400","0000","E16A66","0","0","0","0"
"230042193","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2193","Rancho Israel","R","18°45´47.578"N","087°43´35.015"W","18.76321600","-87.72639300","0002","E16A57","6","*","*","2"
"230042194","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2194","Kabah-Na","R","18°39´10.284"N","087°43´37.352"W","18.65285700","-87.72704200","0000","E16A67","1","*","*","1"
"230042195","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2195","Kohunlich","R","18°27´08.787"N","088°49´25.401"W","18.45244100","-88.82372300","0116","E16A74","0","0","0","0"
"230042196","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2196","El Jahuatal","R","18°29´13.396"N","088°56´48.358"W","18.48705400","-88.94676600","0087","E16A74","0","0","0","0"
"230042198","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2198","El Makulí","R","18°45´27.545"N","087°42´03.068"W","18.75765100","-87.70085200","0002","E16A57","30","15","15","5"
"230042199","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2199","Manuel Domínguez Góngora","R","18°37´10.000"N","088°01´01.000"W","18.61944400","-88.01694400","0001","E16A66","0","0","0","0"
"230042200","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2200","Manuel Palma","R","18°35´13.169"N","088°43´46.532"W","18.58699100","-88.72959200","0061","E16A64","1","*","*","1"
"230042201","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2201","Martín Reyes","R","18°35´10.574"N","088°43´02.328"W","18.58627100","-88.71731300","0079","E16A64","0","0","0","0"
"230042203","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2203","Maya Palms Resort","R","18°38´31.884"N","087°43´42.967"W","18.64219000","-87.72860200","0000","E16A67","0","0","0","0"
"230042207","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2207","El Mostrenco","R","18°27´52.531"N","088°55´08.884"W","18.46459200","-88.91913400","0084","E16A74","0","0","0","0"
"230042210","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2210","PIM","R","18°12´50.000"N","087°50´32.000"W","18.21388900","-87.84222200","0001","E16A87","0","0","0","0"
"230042211","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2211","BA","R","18°16´11.009"N","087°51´31.123"W","18.26972500","-87.85864500","0007","E16A77","0","0","0","0"
"230042212","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2212","Paytocal (Kilómetro Once)","R","18°37´57.358"N","087°43´46.301"W","18.63259900","-87.72952800","0000","E16A67","0","0","0","0"
"230042215","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2215","Poca Cosa","R","18°22´14.082"N","087°47´42.546"W","18.37057800","-87.79515200","0001","E16A77","0","0","0","0"
"230042217","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2217","Primero de Mayo","R","18°33´59.160"N","088°44´32.334"W","18.56643300","-88.74231500","0061","E16A64","2","*","*","1"
"230042219","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2219","Casa Lorimar","R","18°20´29.467"N","087°48´46.435"W","18.34151900","-87.81289900","0002","E16A77","0","0","0","0"
"230042223","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2223","Los Mangos","R","18°37´17.681"N","088°48´46.521"W","18.62157800","-88.81292300","0063","E16A64","0","0","0","0"
"230042224","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2224","Rancho Alegre","R","18°42´16.627"N","088°59´21.168"W","18.70461900","-88.98921300","0090","E16A64","6","*","*","1"
"230042228","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2228","Roberto Salgado","R","18°46´01.048"N","088°16´28.582"W","18.76695800","-88.27460600","0007","E16A56","0","0","0","0"
"230042230","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2230","El Esplendor","R","18°27´50.556"N","088°53´48.505"W","18.46404300","-88.89680700","0084","E16A74","0","0","0","0"
"230042231","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2231","El Porvenir","R","18°37´02.597"N","088°48´55.792"W","18.61738800","-88.81549800","0065","E16A64","2","*","*","1"
"230042232","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2232","Rufino Méndez","R","18°39´07.244"N","088°50´17.841"W","18.65201200","-88.83828900","0068","E16A64","0","0","0","0"
"230042239","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2239","Sin Duda Villas","R","18°20´35.478"N","087°48´39.392"W","18.34318800","-87.81094200","0002","E16A77","0","0","0","0"
"230042240","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2240","Costa Maya","R","18°38´34.582"N","087°43´44.484"W","18.64293900","-87.72902300","0000","E16A67","0","0","0","0"
"230042242","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2242","Las Bugambilias","R","18°51´00.739"N","089°04´52.727"W","18.85020500","-89.08131300","0089","E16A53","-","-","-","-"
"230042243","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2243","Playa Uvero","R","18°57´14.717"N","087°37´01.024"W","18.95408800","-87.61695100","0002","E16A58","5","4","1","4"
"230042244","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2244","El Tesoro","R","17°57´40.293"N","088°51´56.521"W","17.96119300","-88.8657","0023","E16C14","0","0","0","0"
"230042245","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2245","Tierra Maya","R","18°17´45.818"N","087°49´57.429"W","18.29606100","-87.83261900","0005","E16A77","1","*","*","1"
"230042247","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2247","El Tucán","R","18°39´03.057"N","087°43´37.393"W","18.65084900","-87.72705400","0000","E16A67","0","0","0","0"
"230042248","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2248","Las Uvas","R","18°39´58.306"N","087°43´33.841"W","18.66619600","-87.72606700","0000","E16A67","2","*","*","1"
"230042252","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2252","La Victoria","R","18°29´59.850"N","088°32´59.956"W","18.49995800","-88.54998800","0031","E16A75","0","0","0","0"
"230042253","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2253","Villa de Leyva","R","18°48´20.024"N","088°15´05.879"W","18.80556200","-88.25163300","0007","E16A56","6","*","*","1"
"230042254","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2254","Milton Ruíz Vázquez","R","18°31´05.820"N","088°34´06.066"W","18.51828300","-88.56835200","0031","E16A65","6","*","*","1"
"230042257","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2257","Galeras","R","18°30´46.942"N","088°34´36.150"W","18.51303900","-88.57670800","0030","E16A65","0","0","0","0"
"230042259","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2259","La Ceiba (Wilfrido Mendoza)","R","18°51´06.123"N","089°04´57.365"W","18.85170100","-89.08260100","0090","E16A53","-","-","-","-"
"230042261","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2261","Loma Seca","R","18°30´42.732"N","088°33´39.144"W","18.51187000","-88.56087300","0022","E16A65","4","*","*","1"
"230042271","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2271","Primer Cementerio de Chetumal [Servicio]","R","18°32´14.950"N","088°18´56.778"W","18.53748600","-88.31577200","0011","E16A66","0","0","0","0"
"230042273","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2273","Tania Gabriela","R","18°37´57.954"N","088°17´34.728"W","18.63276500","-88.29298000","0007","E16A66","0","0","0","0"
"230042275","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2275","Arsenio Padrón","R","18°37´06.577"N","088°16´41.647"W","18.61849400","-88.27823500","0010","E16A66","0","0","0","0"
"230042277","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2277","Las Maravillas","R","18°35´03.131"N","088°17´16.335"W","18.58420300","-88.28787100","0010","E16A66","3","*","*","1"
"230042285","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2285","Natividad","R","18°37´05.128"N","088°16´32.444"W","18.61809100","-88.27567900","0010","E16A66","0","0","0","0"
"230042286","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2286","Eduardo Ovando","R","18°38´19.037"N","088°17´36.821"W","18.63862100","-88.29356100","0008","E16A66","1","*","*","1"
"230042291","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2291","La Fe","R","18°16´12.798"N","087°51´28.097"W","18.27022200","-87.85780500","0007","E16A77","4","*","*","1"
"230042294","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2294","Casa de los Sueños","R","18°20´45.808"N","087°48´29.652"W","18.34605800","-87.80823700","0002","E16A77","2","*","*","1"
"230042296","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2296","La Huerta de Alcalá","R","18°38´02.969"N","088°14´29.611"W","18.63415800","-88.24155900","0008","E16A66","3","*","*","1"
"230042305","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2305","Solo Dios","R","18°36´41.991"N","088°17´30.537"W","18.61166400","-88.29181600","0009","E16A66","0","0","0","0"
"230042310","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2310","Juan Hernández Rosales","R","18°45´33.575"N","088°12´24.555"W","18.75932600","-88.20682100","0010","E16A56","2","*","*","1"
"230042312","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2312","Rancho Escondido Hermanos Magaña","R","18°34´38.362"N","088°18´43.258"W","18.57732300","-88.31201600","0010","E16A66","2","*","*","1"
"230042313","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2313","Jung Matthee","R","18°39´15.690"N","087°43´36.294"W","18.65435800","-87.72674800","0000","E16A67","3","*","*","1"
"230042317","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2317","San Antonio","R","18°36´48.796"N","088°17´33.052"W","18.61355400","-88.29251400","0009","E16A66","0","0","0","0"
"230042323","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2323","Nicolás Bravo","R","18°27´12.189"N","088°56´00.211"W","18.45338600","-88.93339200","0100","E16A74","7","*","*","1"
"230042327","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2327","San Isidro","R","18°37´06.329"N","088°16´55.265"W","18.61842500","-88.28201800","0010","E16A66","0","0","0","0"
"230042329","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2329","PCM","R","18°45´29.579"N","087°42´02.645"W","18.75821600","-87.70073500","0002","E16A57","0","0","0","0"
"230042330","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2330","Ramón","R","18°39´12.027"N","088°17´42.455"W","18.65334100","-88.29512600","0009","E16A66","8","*","*","1"
"230042340","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2340","La Guadalupana","R","18°37´41.915"N","088°16´43.127"W","18.62831000","-88.27864600","0010","E16A66","0","0","0","0"
"230042346","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2346","Mateo Martín Martínez","R","18°21´42.604"N","088°55´10.606"W","18.36183400","-88.91961300","0140","E16A74","-","-","-","-"
"230042347","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2347","Ninguno","R","18°45´45.805"N","087°41´36.575"W","18.76272400","-87.69349300","0002","E16A57","1","*","*","1"
"230042348","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2348","El Paraíso","R","18°45´31.540"N","087°43´21.112"W","18.75876100","-87.72253100","0002","E16A57","6","*","*","2"
"230042349","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2349","Las Palmas","R","18°32´46.879"N","088°19´49.710"W","18.54635500","-88.33047500","0009","E16A66","-","-","-","-"
"230042350","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2350","Félix García","R","18°47´29.952"N","089°03´56.323"W","18.79165300","-89.06564500","0106","E16A53","-","-","-","-"
"230042352","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2352","Nuevo Jesús","R","18°40´18.256"N","088°52´43.676"W","18.67173800","-88.87879900","0170","E16A64","0","0","0","0"
"230042356","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2356","Ninguno","R","18°44´59.027"N","088°17´59.396"W","18.74973000","-88.29983200","0008","E16A66","0","0","0","0"
"230042358","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2358","El Salto del Tigre","R","18°39´43.293"N","088°17´52.619"W","18.66202600","-88.29795000","0008","E16A66","4","*","*","1"
"230042359","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2359","Los Mangos","R","18°38´41.838"N","088°17´42.597"W","18.64495500","-88.29516600","0012","E16A66","0","0","0","0"
"230042361","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2361","Rancho Adulam","R","18°38´27.567"N","088°13´28.124"W","18.64099100","-88.22447900","0008","E16A66","6","*","*","1"
"230042362","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2362","Los Reyes","R","18°37´07.480"N","088°15´17.281"W","18.61874400","-88.2548","0008","E16A66","0","0","0","0"
"230042363","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2363","Santa Lucía","R","18°36´38.961"N","088°13´35.836"W","18.61082300","-88.22662100","0007","E16A66","1","*","*","1"
"230042366","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2366","La Microonda","R","18°27´22.492"N","088°59´29.673"W","18.45624800","-88.99157600","0164","E16A74","-","-","-","-"
"230042368","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2368","El Mameyal","R","18°20´13.049"N","088°56´18.798"W","18.33695800","-88.93855500","0145","E16A74","1","*","*","1"
"230042369","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2369","Los Cascabeles","R","18°27´57.908"N","088°52´18.357"W","18.46608600","-88.87176600","0083","E16A74","1","*","*","1"
"230042370","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2370","El Sacrificio","R","18°25´13.704"N","088°55´15.352"W","18.42047300","-88.92093100","0150","E16A74","3","*","*","1"
"230042373","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2373","La Unión","R","18°23´03.390"N","088°54´38.051"W","18.38427500","-88.91057000","0129","E16A74","1","*","*","1"
"230042375","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2375","Venecia","R","18°34´23.163"N","087°20´11.444"W","18.57310100","-87.33651200","0000","E16A68","0","0","0","0"
"230042381","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2381","Balam Kú","R","18°40´41.676"N","087°43´20.534"W","18.67824300","-87.72237100","0001","E16A67","2","*","*","1"
"230042385","23","Quintana Roo","Q. Roo","004","Othón P. Blanco","2385","Casa del Sol","R","18°22´21.000"N","087°47´39.000"W","18.3725","-87.79416700","0001","E16A77","0","0","0","0"
